Kraków_City,Warszawa_City,Poznañ_City,floor,rooms,sq,year
0.00,0.00,1.00,3.00,2.00,78.33,2010.00
1.00,0.00,0.00,5.00,3.00,45.00,1974.00
0.00,0.00,1.00,1.00,3.00,57.40,2020.00
1.00,0.00,0.00,0.00,2.00,48.85,2020.00
0.00,0.00,1.00,3.00,3.00,64.10,2007.00
1.00,0.00,0.00,3.00,3.00,60.23,2020.00
0.00,0.00,1.00,2.00,4.00,180.00,2012.00
1.00,0.00,0.00,7.00,2.00,44.21,2021.00
1.00,0.00,0.00,2.00,2.00,37.21,2022.00
1.00,0.00,0.00,4.00,3.00,53.04,2020.00
0.00,0.00,1.00,10.00,3.00,53.00,1980.00
1.00,0.00,0.00,4.00,2.00,50.00,1990.00
0.00,0.00,1.00,1.00,4.00,94.40,2019.00
0.00,1.00,0.00,2.00,5.00,166.00,1935.00
0.00,0.00,1.00,1.00,2.00,39.66,1935.00
1.00,0.00,0.00,0.00,2.00,53.33,2022.00
1.00,0.00,0.00,4.00,2.00,56.00,2014.00
1.00,0.00,0.00,4.00,2.00,48.54,2018.00
1.00,0.00,0.00,3.00,2.00,48.00,1956.00
1.00,0.00,0.00,2.00,2.00,53.40,2017.00
0.00,0.00,1.00,8.00,1.00,28.00,1972.00
1.00,0.00,0.00,2.00,2.00,46.54,2018.00
1.00,0.00,0.00,0.00,3.00,56.00,1985.00
1.00,0.00,0.00,0.00,3.00,61.64,2022.00
0.00,0.00,1.00,1.00,3.00,66.00,2013.00
0.00,0.00,1.00,0.00,2.00,51.32,2017.00
1.00,0.00,0.00,0.00,3.00,70.00,2021.00
0.00,0.00,1.00,2.00,2.00,36.99,2020.00
1.00,0.00,0.00,4.00,1.00,14.47,2021.00
1.00,0.00,0.00,3.00,3.00,70.00,2007.00
0.00,1.00,0.00,2.00,2.00,46.79,2021.00
1.00,0.00,0.00,2.00,1.00,26.00,2022.00
1.00,0.00,0.00,0.00,3.00,74.44,2020.00
1.00,0.00,0.00,0.00,1.00,37.93,2006.00
1.00,0.00,0.00,1.00,3.00,52.48,2021.00
0.00,1.00,0.00,0.00,2.00,41.49,2022.00
0.00,0.00,1.00,2.00,3.00,64.10,2021.00
0.00,0.00,1.00,2.00,3.00,53.00,2021.00
0.00,0.00,1.00,3.00,3.00,60.00,2019.00
1.00,0.00,0.00,1.00,5.00,107.00,2021.00
1.00,0.00,0.00,4.00,3.00,59.09,2022.00
0.00,0.00,1.00,9.00,2.00,35.40,1965.00
0.00,1.00,0.00,0.00,4.00,89.88,1943.00
0.00,0.00,1.00,2.00,3.00,61.91,2012.00
0.00,1.00,0.00,0.00,1.00,26.96,2020.00
0.00,0.00,1.00,1.00,3.00,63.00,2018.00
0.00,1.00,0.00,1.00,3.00,71.54,2021.00
0.00,0.00,1.00,0.00,2.00,42.00,1976.00
0.00,0.00,1.00,4.00,3.00,59.70,1976.00
1.00,0.00,0.00,4.00,2.00,28.36,2021.00
0.00,1.00,0.00,6.00,3.00,71.43,2022.00
0.00,1.00,0.00,2.00,2.00,32.96,1905.00
0.00,0.00,1.00,3.00,2.00,45.00,2011.00
0.00,0.00,1.00,0.00,2.00,35.00,2014.00
0.00,0.00,1.00,4.00,3.00,92.87,2013.00
0.00,1.00,0.00,2.00,3.00,75.49,2019.00
0.00,0.00,1.00,5.00,3.00,78.59,2008.00
0.00,0.00,1.00,6.00,4.00,70.11,2020.00
1.00,0.00,0.00,2.00,3.00,67.72,2016.00
0.00,1.00,0.00,4.00,2.00,50.10,2020.00
0.00,0.00,1.00,2.00,3.00,62.50,1960.00
0.00,0.00,1.00,7.00,2.00,52.40,2017.00
0.00,0.00,1.00,5.00,3.00,66.00,2020.00
0.00,0.00,1.00,2.00,3.00,62.00,2015.00
0.00,1.00,0.00,0.00,4.00,96.90,2021.00
0.00,0.00,1.00,3.00,2.00,46.00,2020.00
1.00,0.00,0.00,4.00,2.00,37.77,2021.00
0.00,1.00,0.00,5.00,3.00,55.46,2021.00
1.00,0.00,0.00,1.00,5.00,107.00,2020.00
0.00,0.00,1.00,4.00,2.00,47.30,1950.00
1.00,0.00,0.00,0.00,2.00,47.50,2009.00
0.00,0.00,1.00,2.00,3.00,59.71,2020.00
1.00,0.00,0.00,5.00,4.00,98.00,2000.00
1.00,0.00,0.00,2.00,1.00,34.00,2017.00
0.00,1.00,0.00,4.00,3.00,54.23,2022.00
1.00,0.00,0.00,1.00,2.00,48.40,1929.00
1.00,0.00,0.00,4.00,2.00,45.26,2021.00
0.00,1.00,0.00,1.00,1.00,35.50,2013.00
0.00,0.00,1.00,2.00,4.00,101.71,2019.00
0.00,1.00,0.00,2.00,3.00,71.88,2022.00
1.00,0.00,0.00,5.00,2.00,46.50,2021.00
0.00,0.00,1.00,0.00,2.00,50.10,1962.00
1.00,0.00,0.00,0.00,3.00,57.00,1980.00
1.00,0.00,0.00,2.00,3.00,60.22,2021.00
1.00,0.00,0.00,2.00,5.00,1007185.00,2020.00
1.00,0.00,0.00,8.00,2.00,37.00,1970.00
0.00,0.00,1.00,3.00,1.00,24.00,1961.00
1.00,0.00,0.00,0.00,4.00,95.73,2019.00
1.00,0.00,0.00,0.00,3.00,60.20,1960.00
0.00,1.00,0.00,4.00,3.00,84.76,2020.00
1.00,0.00,0.00,2.00,2.00,52.16,2020.00
0.00,0.00,1.00,0.00,2.00,63.45,2018.00
0.00,0.00,1.00,0.00,2.00,47.00,1956.00
0.00,1.00,0.00,6.00,2.00,32.50,2022.00
0.00,0.00,1.00,5.00,4.00,90.00,1904.00
1.00,0.00,0.00,0.00,1.00,30.00,1920.00
0.00,0.00,1.00,3.00,3.00,80.00,2009.00
0.00,1.00,0.00,3.00,3.00,44.50,1980.00
0.00,0.00,1.00,2.00,2.00,52.25,1955.00
0.00,0.00,1.00,1.00,2.00,44.00,2022.00
0.00,1.00,0.00,4.00,4.00,57.65,2022.00
0.00,1.00,0.00,0.00,3.00,50.86,2021.00
0.00,0.00,1.00,10.00,4.00,156.00,2017.00
0.00,0.00,1.00,5.00,2.00,46.63,1976.00
0.00,0.00,1.00,4.00,3.00,53.10,1924.00
0.00,0.00,1.00,1.00,2.00,40.00,2014.00
1.00,0.00,0.00,2.00,2.00,34.73,2021.00
0.00,1.00,0.00,9.00,3.00,66.90,1980.00
0.00,0.00,1.00,10.00,3.00,48.00,1970.00
1.00,0.00,0.00,1.00,4.00,71.53,2022.00
0.00,0.00,1.00,0.00,2.00,46.46,1990.00
0.00,1.00,0.00,5.00,2.00,38.77,2022.00
0.00,0.00,1.00,10.00,2.00,48.00,2008.00
1.00,0.00,0.00,4.00,3.00,69.00,2006.00
0.00,0.00,1.00,3.00,3.00,46.00,1965.00
0.00,0.00,1.00,3.00,2.00,38.51,1977.00
1.00,0.00,0.00,0.00,2.00,50.40,1984.00
1.00,0.00,0.00,7.00,2.00,53.06,2020.00
0.00,0.00,1.00,1.00,4.00,82.60,1993.00
0.00,0.00,1.00,4.00,2.00,45.00,2020.00
1.00,0.00,0.00,1.00,3.00,50.00,2020.00
1.00,0.00,0.00,4.00,2.00,38.28,2022.00
1.00,0.00,0.00,3.00,3.00,100.00,1938.00
0.00,0.00,1.00,5.00,4.00,91.60,1996.00
0.00,0.00,1.00,5.00,2.00,43.00,2020.00
0.00,0.00,1.00,1.00,3.00,76.45,1966.00
0.00,0.00,1.00,2.00,3.00,54.00,1970.00
0.00,1.00,0.00,1.00,3.00,64.06,2021.00
0.00,1.00,0.00,3.00,2.00,30.00,2020.00
0.00,1.00,0.00,2.00,1.00,46.00,2022.00
0.00,1.00,0.00,7.00,2.00,47.40,1960.00
1.00,0.00,0.00,4.00,2.00,44.08,2021.00
0.00,0.00,1.00,3.00,1.00,28.62,2022.00
0.00,0.00,1.00,0.00,4.00,100.00,1931.00
0.00,1.00,0.00,6.00,4.00,83.32,2020.00
0.00,1.00,0.00,3.00,4.00,97.80,2020.00
1.00,0.00,0.00,2.00,4.00,63.43,2020.00
0.00,0.00,1.00,1.00,4.00,91.63,2021.00
0.00,0.00,1.00,4.00,5.00,127.40,1995.00
1.00,0.00,0.00,1.00,3.00,114.70,2019.00
0.00,0.00,1.00,1.00,3.00,66.30,1990.00
0.00,1.00,0.00,2.00,1.00,34.40,1950.00
1.00,0.00,0.00,0.00,1.00,25.26,2022.00
0.00,0.00,1.00,2.00,2.00,43.34,2010.00
0.00,0.00,1.00,1.00,2.00,41.00,1970.00
1.00,0.00,0.00,0.00,3.00,52.00,2020.00
1.00,0.00,0.00,1.00,3.00,49.00,2020.00
0.00,0.00,1.00,4.00,1.00,30.00,2018.00
1.00,0.00,0.00,2.00,3.00,62.00,2004.00
0.00,1.00,0.00,3.00,3.00,60.50,1901.00
0.00,0.00,1.00,3.00,2.00,48.20,1978.00
0.00,0.00,1.00,7.00,1.00,25.00,1969.00
1.00,0.00,0.00,2.00,2.00,38.66,2021.00
0.00,0.00,1.00,1.00,2.00,50.50,2002.00
1.00,0.00,0.00,0.00,3.00,66.81,2021.00
0.00,0.00,1.00,10.00,2.00,51.00,2021.00
0.00,1.00,0.00,0.00,3.00,50.67,2022.00
0.00,0.00,1.00,4.00,2.00,50.00,2020.00
0.00,1.00,0.00,3.00,3.00,67.72,2020.00
0.00,1.00,0.00,3.00,3.00,48.60,1966.00
1.00,0.00,0.00,1.00,1.00,38.52,2000.00
1.00,0.00,0.00,1.00,2.00,75.30,1937.00
1.00,0.00,0.00,0.00,3.00,55.25,2021.00
1.00,0.00,0.00,3.00,1.00,30.00,2021.00
0.00,0.00,1.00,4.00,4.00,74.00,1956.00
0.00,1.00,0.00,2.00,3.00,72.62,2020.00
0.00,1.00,0.00,1.00,3.00,45.48,2020.00
0.00,0.00,1.00,2.00,2.00,40.77,2022.00
1.00,0.00,0.00,5.00,3.00,75.86,2021.00
1.00,0.00,0.00,0.00,1.00,24.00,1965.00
1.00,0.00,0.00,3.00,2.00,35.00,2020.00
0.00,1.00,0.00,3.00,2.00,39.00,1901.00
0.00,1.00,0.00,4.00,4.00,65.10,1975.00
1.00,0.00,0.00,3.00,3.00,55.00,1960.00
0.00,1.00,0.00,0.00,2.00,61.55,2022.00
1.00,0.00,0.00,0.00,2.00,48.80,2021.00
1.00,0.00,0.00,2.00,2.00,39.57,2022.00
0.00,1.00,0.00,3.00,2.00,55.00,1962.00
1.00,0.00,0.00,4.00,2.00,31.80,2010.00
1.00,0.00,0.00,0.00,4.00,88.73,2021.00
0.00,0.00,1.00,4.00,4.00,83.09,2022.00
0.00,1.00,0.00,0.00,4.00,91.00,2020.00
0.00,1.00,0.00,0.00,3.00,56.31,2021.00
0.00,1.00,0.00,2.00,2.00,38.77,2022.00
0.00,0.00,1.00,1.00,3.00,80.00,2010.00
1.00,0.00,0.00,3.00,4.00,83.79,2020.00
1.00,0.00,0.00,4.00,2.00,46.54,2021.00
1.00,0.00,0.00,0.00,2.00,40.86,2020.00
1.00,0.00,0.00,2.00,3.00,41.50,2022.00
1.00,0.00,0.00,1.00,2.00,74.00,1908.00
0.00,1.00,0.00,0.00,3.00,51.88,2020.00
0.00,0.00,1.00,10.00,4.00,93.00,2021.00
0.00,0.00,1.00,4.00,3.00,73.00,2004.00
0.00,1.00,0.00,0.00,1.00,27.00,2021.00
0.00,0.00,1.00,6.00,2.00,37.00,1971.00
0.00,0.00,1.00,1.00,2.00,38.12,1938.00
1.00,0.00,0.00,3.00,3.00,74.80,2020.00
0.00,1.00,0.00,1.00,3.00,83.20,2020.00
0.00,1.00,0.00,3.00,1.00,38.63,2021.00
1.00,0.00,0.00,0.00,1.00,25.02,2020.00
0.00,1.00,0.00,1.00,3.00,51.71,2022.00
0.00,0.00,1.00,4.00,4.00,106.50,2022.00
1.00,0.00,0.00,2.00,3.00,81.59,2022.00
1.00,0.00,0.00,0.00,4.00,95.00,2019.00
1.00,0.00,0.00,2.00,3.00,64.27,2022.00
0.00,1.00,0.00,0.00,4.00,113.00,1995.00
1.00,0.00,0.00,2.00,3.00,63.80,2020.00
0.00,0.00,1.00,0.00,2.00,36.00,2019.00
0.00,0.00,1.00,1.00,3.00,62.11,2019.00
1.00,0.00,0.00,3.00,2.00,53.00,1968.00
0.00,1.00,0.00,4.00,2.00,47.26,2015.00
0.00,0.00,1.00,3.00,1.00,27.27,1972.00
0.00,0.00,1.00,3.00,3.00,105.00,2007.00
0.00,0.00,1.00,1.00,3.00,56.33,2020.00
0.00,0.00,1.00,2.00,3.00,76.67,2009.00
0.00,0.00,1.00,5.00,2.00,38.00,1976.00
0.00,1.00,0.00,0.00,4.00,88.43,2020.00
1.00,0.00,0.00,2.00,1.00,31.58,2021.00
0.00,0.00,1.00,4.00,1.00,25.52,2022.00
0.00,0.00,1.00,7.00,2.00,33.40,1982.00
1.00,0.00,0.00,0.00,2.00,65.73,2020.00
1.00,0.00,0.00,3.00,3.00,57.79,2020.00
1.00,0.00,0.00,3.00,2.00,40.00,1954.00
0.00,1.00,0.00,2.00,3.00,72.62,2020.00
0.00,0.00,1.00,9.00,3.00,59.00,1980.00
0.00,1.00,0.00,1.00,3.00,71.34,2021.00
1.00,0.00,0.00,0.00,2.00,38.20,1970.00
0.00,0.00,1.00,3.00,2.00,30.45,1902.00
1.00,0.00,0.00,5.00,4.00,104.16,2021.00
0.00,1.00,0.00,0.00,3.00,50.67,2022.00
0.00,0.00,1.00,2.00,3.00,67.00,1980.00
1.00,0.00,0.00,0.00,3.00,73.00,1998.00
1.00,0.00,0.00,1.00,3.00,61.40,1991.00
0.00,0.00,1.00,0.00,2.00,53.00,2006.00
0.00,0.00,1.00,1.00,1.00,18.00,1962.00
0.00,0.00,1.00,4.00,3.00,121.47,2012.00
0.00,0.00,1.00,1.00,3.00,86.65,1939.00
1.00,0.00,0.00,2.00,4.00,62.86,2022.00
0.00,0.00,1.00,2.00,4.00,72.29,2022.00
1.00,0.00,0.00,1.00,2.00,33.83,2021.00
0.00,0.00,1.00,4.00,3.00,65.00,2009.00
1.00,0.00,0.00,1.00,3.00,64.82,2014.00
1.00,0.00,0.00,1.00,3.00,70.19,2022.00
0.00,0.00,1.00,3.00,2.00,37.00,1959.00
0.00,0.00,1.00,1.00,4.00,113.00,2019.00
0.00,0.00,1.00,4.00,2.00,37.50,1968.00
1.00,0.00,0.00,1.00,5.00,100.00,1989.00
0.00,0.00,1.00,3.00,1.00,28.00,1955.00
1.00,0.00,0.00,1.00,1.00,32.00,1901.00
0.00,0.00,1.00,1.00,4.00,111.87,2020.00
0.00,1.00,0.00,6.00,3.00,59.01,2022.00
0.00,1.00,0.00,2.00,4.00,77.20,2022.00
1.00,0.00,0.00,0.00,2.00,43.00,1910.00
0.00,1.00,0.00,1.00,2.00,52.40,2010.00
1.00,0.00,0.00,3.00,2.00,37.00,1970.00
0.00,0.00,1.00,0.00,3.00,55.00,1974.00
1.00,0.00,0.00,2.00,3.00,67.55,2021.00
0.00,1.00,0.00,0.00,4.00,90.99,2022.00
1.00,0.00,0.00,3.00,3.00,94.00,2005.00
0.00,0.00,1.00,1.00,2.00,43.00,2015.00
0.00,0.00,1.00,4.00,5.00,57.30,1970.00
0.00,1.00,0.00,2.00,3.00,48.10,2020.00
0.00,0.00,1.00,2.00,2.00,54.30,2001.00
0.00,1.00,0.00,1.00,2.00,37.60,1969.00
1.00,0.00,0.00,4.00,2.00,49.46,2021.00
0.00,0.00,1.00,0.00,4.00,113.30,2021.00
0.00,0.00,1.00,1.00,2.00,46.52,2022.00
0.00,0.00,1.00,4.00,2.00,48.25,1962.00
1.00,0.00,0.00,5.00,2.00,36.70,2021.00
1.00,0.00,0.00,4.00,2.00,34.00,2010.00
0.00,0.00,1.00,0.00,2.00,55.62,1953.00
0.00,1.00,0.00,0.00,3.00,50.66,2021.00
1.00,0.00,0.00,0.00,4.00,61.52,2021.00
0.00,1.00,0.00,6.00,3.00,50.67,2022.00
0.00,0.00,1.00,4.00,2.00,49.78,2020.00
1.00,0.00,0.00,2.00,3.00,72.50,2004.00
0.00,1.00,0.00,2.00,3.00,49.96,2022.00
1.00,0.00,0.00,7.00,4.00,99.52,2020.00
0.00,0.00,1.00,1.00,3.00,57.05,2010.00
1.00,0.00,0.00,3.00,3.00,67.31,2020.00
1.00,0.00,0.00,1.00,2.00,47.00,1970.00
0.00,0.00,1.00,1.00,3.00,76.50,1964.00
0.00,0.00,1.00,5.00,2.00,46.63,1976.00
1.00,0.00,0.00,6.00,3.00,51.00,1981.00
0.00,1.00,0.00,2.00,5.00,81.00,2020.00
0.00,0.00,1.00,1.00,4.00,117.00,2009.00
0.00,0.00,1.00,8.00,2.00,35.00,1977.00
0.00,0.00,1.00,1.00,2.00,40.50,2020.00
1.00,0.00,0.00,4.00,2.00,41.99,2022.00
0.00,0.00,1.00,7.00,3.00,51.00,1972.00
1.00,0.00,0.00,3.00,2.00,42.54,2020.00
1.00,0.00,0.00,3.00,4.00,64.00,1970.00
0.00,0.00,1.00,7.00,1.00,30.26,2017.00
0.00,0.00,1.00,1.00,3.00,70.22,2021.00
0.00,0.00,1.00,1.00,2.00,39.89,2016.00
1.00,0.00,0.00,1.00,2.00,49.00,2000.00
1.00,0.00,0.00,0.00,1.00,32.67,2021.00
0.00,0.00,1.00,2.00,3.00,53.00,1976.00
0.00,0.00,1.00,1.00,3.00,94.00,2007.00
0.00,1.00,0.00,2.00,2.00,38.77,2022.00
0.00,0.00,1.00,4.00,4.00,87.00,2022.00
1.00,0.00,0.00,0.00,2.00,42.33,2021.00
0.00,0.00,1.00,6.00,4.00,70.00,2020.00
1.00,0.00,0.00,4.00,4.00,64.00,1972.00
0.00,0.00,1.00,3.00,3.00,132.00,2006.00
1.00,0.00,0.00,1.00,3.00,62.50,2020.00
0.00,0.00,1.00,4.00,2.00,35.10,1970.00
0.00,0.00,1.00,3.00,2.00,37.00,2019.00
1.00,0.00,0.00,0.00,1.00,25.48,2020.00
0.00,0.00,1.00,0.00,2.00,38.80,1951.00
0.00,1.00,0.00,1.00,3.00,65.87,2022.00
0.00,0.00,1.00,0.00,3.00,62.00,2011.00
1.00,0.00,0.00,5.00,1.00,21.00,1970.00
1.00,0.00,0.00,0.00,3.00,66.02,2021.00
1.00,0.00,0.00,0.00,2.00,49.00,2000.00
1.00,0.00,0.00,10.00,2.00,46.00,1999.00
1.00,0.00,0.00,4.00,2.00,44.00,1979.00
1.00,0.00,0.00,0.00,1.00,24.89,2021.00
1.00,0.00,0.00,3.00,3.00,63.08,2021.00
0.00,0.00,1.00,1.00,2.00,43.31,2020.00
0.00,0.00,1.00,0.00,2.00,54.39,2022.00
1.00,0.00,0.00,2.00,3.00,65.10,2021.00
1.00,0.00,0.00,1.00,3.00,66.00,2005.00
0.00,0.00,1.00,0.00,2.00,39.52,2019.00
0.00,0.00,1.00,1.00,3.00,66.20,2014.00
0.00,0.00,1.00,1.00,1.00,24.00,1965.00
0.00,1.00,0.00,0.00,3.00,60.06,2019.00
1.00,0.00,0.00,3.00,3.00,50.64,2022.00
0.00,1.00,0.00,5.00,3.00,72.56,2020.00
0.00,0.00,1.00,0.00,2.00,47.06,2021.00
0.00,1.00,0.00,3.00,3.00,49.80,1950.00
1.00,0.00,0.00,1.00,2.00,48.30,2002.00
1.00,0.00,0.00,10.00,2.00,47.34,1980.00
0.00,0.00,1.00,4.00,3.00,65.00,2019.00
0.00,0.00,1.00,0.00,3.00,87.00,2009.00
0.00,1.00,0.00,1.00,4.00,79.84,2021.00
0.00,0.00,1.00,10.00,2.00,49.70,2009.00
0.00,0.00,1.00,10.00,2.00,42.93,2015.00
0.00,0.00,1.00,5.00,2.00,45.16,2022.00
1.00,0.00,0.00,1.00,5.00,103.42,2020.00
1.00,0.00,0.00,3.00,6.00,65.00,1970.00
1.00,0.00,0.00,3.00,3.00,64.00,1990.00
0.00,1.00,0.00,2.00,2.00,47.23,2022.00
0.00,0.00,1.00,1.00,2.00,43.70,2020.00
0.00,0.00,1.00,2.00,4.00,75.30,2017.00
1.00,0.00,0.00,4.00,2.00,39.78,2019.00
0.00,0.00,1.00,0.00,1.00,26.00,1963.00
0.00,0.00,1.00,3.00,3.00,52.90,1980.00
0.00,0.00,1.00,1.00,3.00,93.30,2009.00
0.00,0.00,1.00,4.00,3.00,66.63,2012.00
1.00,0.00,0.00,2.00,2.00,50.00,2018.00
0.00,0.00,1.00,1.00,3.00,56.00,1990.00
0.00,0.00,1.00,4.00,4.00,93.57,2014.00
0.00,0.00,1.00,0.00,2.00,47.45,2021.00
1.00,0.00,0.00,5.00,3.00,53.50,2008.00
0.00,0.00,1.00,1.00,3.00,69.77,2021.00
0.00,0.00,1.00,3.00,3.00,60.50,2022.00
0.00,1.00,0.00,6.00,3.00,74.43,2022.00
1.00,0.00,0.00,2.00,4.00,65.64,2021.00
0.00,1.00,0.00,2.00,3.00,65.41,2020.00
0.00,0.00,1.00,6.00,3.00,69.80,2002.00
0.00,0.00,1.00,1.00,1.00,26.01,2020.00
0.00,1.00,0.00,3.00,2.00,31.33,2021.00
1.00,0.00,0.00,0.00,3.00,61.64,2022.00
0.00,0.00,1.00,7.00,3.00,78.50,2004.00
0.00,0.00,1.00,5.00,4.00,66.51,2022.00
0.00,0.00,1.00,1.00,4.00,84.00,2009.00
0.00,0.00,1.00,3.00,3.00,60.65,2020.00
1.00,0.00,0.00,3.00,1.00,40.74,1914.00
0.00,1.00,0.00,10.00,3.00,52.18,2017.00
0.00,0.00,1.00,6.00,3.00,96.00,2008.00
0.00,1.00,0.00,3.00,2.00,53.40,1994.00
1.00,0.00,0.00,1.00,5.00,160.88,2022.00
0.00,0.00,1.00,2.00,3.00,59.00,2020.00
1.00,0.00,0.00,3.00,3.00,64.00,1989.00
0.00,0.00,1.00,8.00,3.00,70.23,1986.00
0.00,0.00,1.00,7.00,1.00,28.00,1967.00
1.00,0.00,0.00,1.00,2.00,46.88,2020.00
0.00,1.00,0.00,3.00,3.00,69.50,2020.00
0.00,0.00,1.00,1.00,2.00,37.00,1965.00
1.00,0.00,0.00,1.00,3.00,78.89,2020.00
1.00,0.00,0.00,4.00,3.00,51.79,2021.00
0.00,0.00,1.00,4.00,3.00,62.20,1999.00
0.00,0.00,1.00,0.00,5.00,65.00,1981.00
0.00,0.00,1.00,2.00,3.00,45.50,2020.00
1.00,0.00,0.00,9.00,3.00,74.45,2020.00
